product_id,한글명,관심수,모델번호,발매일,발매가,색상,is_womens,trade_count,window_start,window_cutoff,status,error,collected_at
457531,뉴발란스 992 메이드 인 USA 코어 그레이 실버 메탈릭,26000,U992GY,2025-03-07,309000,Grey/Grey/Silver Metallic,0,1191,2025-03-10,2025-09-06,OK,,2026-02-17 0:46
317696,뉴발란스 1906A 실버 메탈릭 캐슬락,7795,M1906AD,2024-07-24,239000,Silver Metallic/Castlerock/Gold Metallic,0,545,2024-07-27,2025-01-23,OK,,2026-02-17 0:53
25785,뉴발란스 2002R 그레이,105000,ML2002RC,2020-09-25,179000,Grey,0,502,2020-09-25,2021-03-24,OK,,2026-02-17 0:54
44101,뉴발란스 410v5 블랙 - 2E 와이드,40000,MT410CK5,,109000,Black,0,74,2021-11-28,2022-05-27,OK,,2026-02-17 0:56
538811,뉴발란스 204L 스웨이드 머쉬룸 애리드 스톤,45000,U204LMMA,2025-07-03,159000,Mushroom/Arid Stone,0,1464,2025-07-03,2025-12-30,OK,,2026-02-17 0:57
418841,뉴발란스 740v2 블랙 실버 메탈릭,36000,U740BM2,2025-01-09,139000,Black/Silver Metallic,0,1419,2025-01-09,2025-07-08,OK,,2026-02-17 1:03
28260,뉴발란스 530 스틸 그레이,121000,MR530KA,2021-01-08,129000,Steel Grey,0,1401,2021-01-06,2021-07-05,OK,,2026-02-17 1:11
343933,뉴발란스 1906A 콘크리트 실버 메탈릭,1594,M1906AG,2024-09-18,208355900,Concrete/Silver Metallic,0,118,2024-11-09,2025-05-08,OK,,2026-02-17 1:17
466255,뉴발란스 509 블랙 그레이,29000,U509BG,2025-03-14,139000,Black/Gray,0,1971,2025-03-14,2025-09-10,OK,,2026-02-17 1:18
226053,뉴발란스 1906R 하버 그레이 실버 메탈릭,40000,M1906REH,2024-01-12,179000,Harbor Grey/Silver Metalic,0,1597,2024-01-10,2024-07-08,OK,,2026-02-17 1:25
615791,뉴발란스 1906R 블랙 다크 실버 메탈릭,4312,U1906RNB,2025-09-26,219000,Black/Dark Silver Metalic/Black Cement,0,372,2025-10-24,2026-04-22,OK,,2026-02-17 1:32
464209,뉴발란스 992 메이드 인 USA 코어 블랙 그레이,9600,U992BK,2025-03-07,309000,Black/Grey/Silver Metallic,0,1554,2025-03-11,2025-09-07,OK,,2026-02-17 1:33
135624,뉴발란스 530 그레이,33000,MR530CK,2023-08-18,139000,Grey,0,1608,2023-06-16,2023-12-13,OK,,2026-02-17 1:39
23852,뉴발란스 993 메이드 인 USA 그레이 - D 스탠다드,58000,MR993GL,2018-08-21,279000,GREY/WHITE,0,392,2020-04-23,2020-10-20,OK,,2026-02-17 1:47
435203,뉴발란스 1906L 블랙 블랙 시멘트,8504,U1906LNT,2025-02-05,239000,Black/Black Cement,0,399,2025-02-06,2025-08-05,OK,,2026-02-17 1:48
23928,뉴발란스 530 화이트,91000,MR530SG,2019-12-02,119000,White/Silver/Blue,0,470,2020-04-19,2020-10-16,OK,,2026-02-17 1:49
102871,뉴발란스 2002R 프리미엄 빈티지 그레이,29000,M2002RNM,2023-02-27,189000,Grey,0,1293,2023-02-24,2023-08-23,OK,,2026-02-17 1:51
257712,뉴발란스 x 포터리 574 프리미엄 하드 네이비,24000,U574BG2,2024-03-15,149000,Hard Navy,0,1395,2024-03-12,2024-09-08,OK,,2026-02-17 1:56
557656,뉴발란스 204L 팀버울프 리넨,11000,U204LMMC,2025-08-13,159000,Timberwolf/Linen,0,1529,2025-08-13,2026-02-09,OK,,2026-02-17 2:02
771694,뉴발란스 2010 앱졸브 블랙 팬텀,1148,U2010ACB,2026-01-29,219000,Black/Phantom,0,81,2026-01-29,2026-07-28,OK,,2026-02-17 2:08
437626,뉴발란스 미니머스 MT10O 블랙 캐슬락,13000,MT10OAC,2025-02-19,159000,Black/Castlerock,0,552,2025-03-03,2025-08-30,OK,,2026-02-17 2:09
464206,뉴발란스 992 메이드 인 USA 코어 블랙,5454,U992TB,2025-03-07,200288700,Black,0,669,2025-03-11,2025-09-07,OK,,2026-02-17 2:11
461430,뉴발란스 1906L 블랙,5814,U1906LBN,2025-03-19,239000,Black,0,535,2025-03-24,2025-09-20,OK,,2026-02-17 2:12
65216,뉴발란스 574 레거시 네이비,77000,U574LGBB,22/05/05,149000,Navy,0,1549,2022-06-10,2022-12-07,OK,,2026-02-17 08:43:25
343934,뉴발란스 1906A Black,1055,M1906AF,24/09/18,208355900,Black,0,108,2024-11-14,2025-05-13,OK,,2026-02-17 08:48:24
186600,뉴발란스 1906R 블랙 실버 메탈릭,35000,M1906RCH,23/08/29,179000,Black/Silver Metallic,0,1387,2023-10-14,2024-04-11,OK,,2026-02-17 08:48:55
496016,뉴발란스 740 블랙 시멘트 블랙 - D 스탠다드,4888,U740BO2,,139000,Black Cement/Black,0,298,2025-04-22,2025-10-19,OK,,2026-02-17 08:51:23
385699,뉴발란스 1906R 피스타치오 버터 모렐,14000,M1906RNP,24/11/14,219000,Pistachio Butter/Morel/Black,0,342,2024-11-15,2025-05-14,OK,,2026-02-17 08:52:06
