product_id,size,week_no,Week_Avg,Week_Cnt,oldest_trade_date,TotalCnt_All,TotalAvg_All,TotalCnt_Golden,TotalAvg_Golden,total_cnt,total_avg
101218,235,1,157875,16,2023-02-22,47,157489,47,157489,16.0,157875
101218,240,1,164375,8,2023-02-22,47,157489,47,157489,8.0,164375
101218,245,1,163667,3,2023-02-22,47,157489,47,157489,3.0,163667
101218,260,1,152600,10,2023-02-22,47,157489,47,157489,10.0,152600
101218,265,1,161000,3,2023-02-22,47,157489,47,157489,3.0,161000
101218,270,1,151571,7,2023-02-22,47,157489,47,157489,7.0,151571
102871,235,1,159000,1,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,2,157167,6,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,3,175167,6,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,4,160000,1,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,5,177083,12,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,6,185714,7,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,7,184400,5,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,8,191125,8,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,9,215000,3,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,11,191714,7,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,12,196000,4,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,13,197500,2,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,14,186000,3,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,15,191250,4,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,16,194000,2,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,17,195000,2,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,18,141000,1,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,19,181500,2,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,21,179500,2,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,22,180000,1,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,23,184333,3,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,24,181500,4,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,25,160000,1,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,235,26,188750,4,2023-02-25,1262,192770,1262,192770,91.0,183440
102871,240,1,173000,6,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,2,176500,8,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,3,166667,9,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,4,169700,10,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,5,174167,6,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,6,179400,10,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,7,181500,6,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,8,184800,10,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,9,192500,4,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,10,195889,9,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,11,217500,4,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,12,220000,3,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,14,188200,5,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,15,186750,4,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,16,200000,6,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,17,187000,1,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,18,184250,4,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,19,183667,3,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,20,190000,2,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,21,171500,2,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,22,189000,3,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,23,196750,4,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,24,197000,1,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,25,218000,1,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,240,26,189500,2,2023-02-25,1262,192770,1262,192770,123.0,184715
102871,245,1,166000,2,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,2,172800,5,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,3,173333,3,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,4,180167,6,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,5,177700,10,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,6,188250,4,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,7,197500,4,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,8,193500,6,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,9,197429,7,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,10,189714,7,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,11,196500,2,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,12,197500,2,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,13,188500,6,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,14,186667,3,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,15,181250,4,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,16,188500,6,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,17,188000,1,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,18,183000,2,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,20,179000,3,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,21,183000,2,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,22,184000,1,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,23,182000,1,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,24,186000,3,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,25,193667,3,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,245,26,208500,2,2023-02-25,1262,192770,1262,192770,95.0,186337
102871,260,1,164667,3,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,2,173167,12,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,3,166091,11,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,4,176154,13,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,5,184833,18,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,6,206375,8,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,7,206900,10,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,8,215818,11,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,9,214111,9,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,10,206615,13,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,11,208333,6,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,12,229364,11,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,13,214900,10,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,14,199889,18,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,15,198667,12,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,16,193556,9,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,17,188100,10,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,18,202333,12,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,19,213000,4,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,20,210167,6,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,21,208800,5,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,22,211143,7,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,23,216833,6,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,24,214250,4,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,25,210800,5,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,260,26,203444,9,2023-02-25,1262,192770,1262,192770,242.0,199818
102871,265,1,159800,5,2023-02-25,1262,192770,1262,192770,324.0,196049
102871,265,2,165111,9,2023-02-25,1262,192770,1262,192770,324.0,196049
102871,265,3,167600,15,2023-02-25,1262,192770,1262,192770,324.0,196049
102871,265,4,171286,14,2023-02-25,1262,192770,1262,192770,324.0,196049
102871,265,5,179476,21,2023-02-25,1262,192770,1262,192770,324.0,196049
102871,265,6,184789,19,2023-02-25,1262,192770,1262,192770,324.0,196049
102871,265,7,202667,24,2023-02-25,1262,192770,1262,192770,324.0,196049
102871,265,8,215000,9,2023-02-25,1262,192770,1262,192770,324.0,196049
102871,265,9,209923,13,2023-02-25,1262,192770,1262,192770,324.0,196049
102871,265,10,204125,16,2023-02-25,1262,192770,1262,192770,324.0,196049
102871,265,11,207000,13,2023-02-25,1262,192770,1262,192770,324.0,196049
102871,265,12,209933,15,2023-02-25,1262,192770,1262,192770,324.0,196049
102871,265,13,201312,16,2023-02-25,1262,192770,1262,192770,324.0,196049
102871,265,14,201500,14,2023-02-25,1262,192770,1262,192770,324.0,196049
102871,265,15,194059,17,2023-02-25,1262,192770,1262,192770,324.0,196049
102871,265,16,198143,14,2023-02-25,1262,192770,1262,192770,324.0,196049
