product_id,product_name,model_number,wish_count,release_date,release_price,color,is_limited,is_domestic,is_collaboration,google_trend_score,label,trade_count,trade_count_total,trade_count_golden,golden_mean_unweighted,golden_mean_weighted
432838,나이키 P-6000 화이트 메탈릭 실버,CD6404-107,3117,,159200,White,,,,,,2000,2000,1013,97850.50528,92473.84008
479388,나이키 샥스 R4 메탈릭 실버 블랙,HQ1988-004,6751,2025-03-25,179000,Grey,,,,,,939,939,544,159876.3024,154520.2206
309629,나이키 에어 줌 스피리돈 케이지 2 블랙 앤트러사이트,HM8497-010,9400,2024-07-11,209000,Black,,,,,,2000,2000,1072,147589.8259,140012.1269
748535,나이키 리액트X 리주버네이트 스프루스 아우라 라이트 실버,HV5060-005,619,,,White,,,,,,155,155,57,89072.72727,80771.92982
136230,나이키 캄 슬라이드 세일,FD4116-100,13000,2023-06-15,59000,White,,,,,,2000,2000,602,58505.81395,56857.14286
594842,나이키 줌X 베이퍼플라이 넥스트% 4 화이트 하이퍼 핑크,HF6414-101,639,2025-06-23,309000,Pink,,,,,,311,311,211,192332.6631,169369.6682
97347,(W) 나이키 줌 보메로 5 포톤 더스트 앤 메탈릭 실버,FD0884-025,43000,2023-02-28,189000,Grey,,,,,,2000,2000,159,255000,246981.1321
306621,나이키 에어 베이퍼맥스 2023 플라이니트 앤트러사이트 블랙,DV1678-006,2680,2023-09-26,249000,Black,,,,,,1111,1111,580,141872.3695,134531.0345
75302,나이키 x 톰 삭스 제너럴 퍼포즈 슈 아카이브,DA6672-700,31000,2022-09-02,129900,Yellow,,,,,,2000,2000,1043,317060.5629,290188.8782
614616,나이키 x 슈프림 에어 포스 1 로우 화이트,CU9225-102,3359,2025-09-18,159000,White,,,,,,1172,1172,638,228757.9829,213653.605
547201,나이키 에어포스 1 로우 '07 LV8 라이트 스모크 그레이 블랙,HQ1966-001,5439,,,Grey,,,,,,1155,1155,647,140905.5542,136788.2535
542407,나이키 샥스 R4 화이트 메탈릭 실버 딥 로얄 블루 화이트,HQ1988-102,1198,2025-06-23,199100,White,,,,,,137,137,69,134984.8352,136478.2609
673536,나이키 에어맥스 95 ZIP SP 빅 버블 블랙,IM0695-001,1404,2025-11-06,239000,Black,,,,,,53,53,29,229566.6667,242275.8621
629567,나이키 에어포스 1 로우 벨벳 브라운 블랙,IM8056-220,1153,,195400,Brown,,,,,,204,204,105,123771.9231,120504.7619
560465,나이키 LD-1000 소프트 펄 모슬린,HJ4687-004,933,2025-07-23,129000,Yellow,,,,,,217,217,115,50628.44304,45965.21739
669747,나이키 에어맥스 모토 2K 블랙 메탈릭 다크 그레이,IO9279-001,683,2025-10-28,149000,Black,,,,,,142,142,88,111824.5044,111738.6364
229945,나이키 V2K 런 퓨어 플래티넘 울프 그레이,FD0736-003,34000,2024-01-18,149000,Grey,,,,,,2000,2000,1103,135251.2331,134864.9139
775833,나이키 에어맥스 고아돔 로우 블랙 앤트러사이트,IQ0641-001,309,2026-02-01,219000,Black,,,,,,10,10,4,241166.6667,240750
531485,나이키 코르테즈 SE 블랙 검 브라운,IM4843-010,17000,2025-06-07,126800,Black,,,,,,1751,1751,937,110524.6529,112414.0875
752030,나이키 SB 에어맥스 95 블랙 앤 앤트러사이트,HF7545-002,425,2026-01-21,229000,Grey,,,,,,32,32,15,259622.2222,258200
555990,나이키 아바 로버 블랙 앤트러사이트,DX4215-005,1993,2025-07-25,202700,Black,,,,,,262,262,140,153985.9079,146892.8571
757895,(W) 나이키 에어맥스 모토 2K SE 블랙 앤트러사이트,IO4862-001,772,,159000,Black,,,,,,96,172,53,155938.308,155943.3962
