product_id,product_name,model_number,wish_count,release_date,release_price,color,is_collaboration,trade_count
775659,Nike Vomero Black White,IQ0627-001,375,2026-02-01,289000,Black,0,85
361985,(W) Nike Air Max SNDR Gore-Tex Black and Dark Smoke Grey,FZ4238-001,7562,2024-10-10,249000,Black,0,844
24137,Nike P-6000 Metallic Silver,CN0149-001,27000,2019-07-30,173300,Grey,0,2000
770419,Nike Air Max Goadome Low Taupe Black,IU5915-200,423,2026-02-12,219000,Black,0,37
456380,Nike Vomero 18 Summit White Coconut Milk,HM6803-101,5485,2025-02-27,179000,White,0,2000
643111,Nike Shox R4 Metallic Silver Black,HQ1988-007,1763,2025-10-25,179000,Gray,0,378
448633,Jordan 1 x Union Retro High OG Chicago Shadow,HV8563-600,7222,2025-02-28,239000,Red,1,2000
38367,Jordan 1 x Travis Scott x Fragment Retro Low OG SP Military Blue,DM7866-140,35000,2021-08-13,189000,White,1,2000
37895,Nike P-6000 Black,CD6404-002,4209,2019-06-12,144400,Black,0,2000
374148,Jordan 1 x Travis Scott Retro Low OG SP Velvet Brown and Dark Mocha,DM7866-202,16000,2024-12-21,179000,Black,1,2000
643434,Nike Air Force 1 '07 LV8 Black Wolf Grey,HQ2037-006,1170,2025-09-15,180500,Black,0,231
354142,Nike ACG Izy Black Limestone,FV4317-002,2471,2024-12-20,159000,Black,0,861
595497,Nike Air Max 95 OG Black Anthracite,HM8755-001,1146,2025-04-21,274400,Black,0,185
565661,Jordan 1 x Nigel Sylvester Retro Low OG Better With Time,IB8958-001,16000,2025-08-16,189000,Black,1,2000
28180,Nike Air Force 1 '07 White Black,CT2302-100,32000,2020-12-23,139000,White,0,2000
9655,Nike x J.Crew Killshot 2 Sail Midnight Navy,432997-107,57000,2017-02-25,109000,White,1,2000
624823,(W) Nike Shox Z Metallic Silver,HQ7540-001,5288,2025-09-26,231000,Grey,0,795
632470,(W) Nike Air Max Phenomena Black Smoke Grey,IM8814-001,1633,2025-10-13,179000,Black,0,1437
17745,Nike Shox R4 Black and Metallic Silver,BV1111-008,9851,2018-11-24,179000,Black,0,2000
118378,Nike Air VaporMax 2023 Flyknit Pure Platinum,DV1678-002,11000,2023-04-06,303300,White,0,2000
