product_id,한글명,관심수,모델번호,발매일,발매가,색상,is_womens,oldest_trade_date,TotalCnt_All,TotalAvg_All,TotalCnt_Golden,TotalAvg_Golden,TotalCnt_235,TotalAvg_235,TotalCnt_240,TotalAvg_240,TotalCnt_245,TotalAvg_245,TotalCnt_260,TotalAvg_260,TotalCnt_265,TotalAvg_265,TotalCnt_270,TotalAvg_270,Week01_235_Avg,Week01_235_Cnt,Week01_240_Avg,Week01_240_Cnt,Week01_245_Avg,Week01_245_Cnt,Week01_260_Avg,Week01_260_Cnt,Week01_265_Avg,Week01_265_Cnt,Week01_270_Avg,Week01_270_Cnt,Week02_235_Avg,Week02_235_Cnt,Week02_240_Avg,Week02_240_Cnt,Week02_245_Avg,Week02_245_Cnt,Week02_260_Avg,Week02_260_Cnt,Week02_265_Avg,Week02_265_Cnt,Week02_270_Avg,Week02_270_Cnt,Week03_235_Avg,Week03_235_Cnt,Week03_240_Avg,Week03_240_Cnt,Week03_245_Avg,Week03_245_Cnt,Week03_260_Avg,Week03_260_Cnt,Week03_265_Avg,Week03_265_Cnt,Week03_270_Avg,Week03_270_Cnt,Week04_235_Avg,Week04_235_Cnt,Week04_240_Avg,Week04_240_Cnt,Week04_245_Avg,Week04_245_Cnt,Week04_260_Avg,Week04_260_Cnt,Week04_265_Avg,Week04_265_Cnt,Week04_270_Avg,Week04_270_Cnt,Week05_235_Avg,Week05_235_Cnt,Week05_240_Avg,Week05_240_Cnt,Week05_245_Avg,Week05_245_Cnt,Week05_260_Avg,Week05_260_Cnt,Week05_265_Avg,Week05_265_Cnt,Week05_270_Avg,Week05_270_Cnt,Week06_235_Avg,Week06_235_Cnt,Week06_240_Avg,Week06_240_Cnt,Week06_245_Avg,Week06_245_Cnt,Week06_260_Avg,Week06_260_Cnt,Week06_265_Avg,Week06_265_Cnt,Week06_270_Avg,Week06_270_Cnt,Week07_235_Avg,Week07_235_Cnt,Week07_240_Avg,Week07_240_Cnt,Week07_245_Avg,Week07_245_Cnt,Week07_260_Avg,Week07_260_Cnt,Week07_265_Avg,Week07_265_Cnt,Week07_270_Avg,Week07_270_Cnt,Week08_235_Avg,Week08_235_Cnt,Week08_240_Avg,Week08_240_Cnt,Week08_245_Avg,Week08_245_Cnt,Week08_260_Avg,Week08_260_Cnt,Week08_265_Avg,Week08_265_Cnt,Week08_270_Avg,Week08_270_Cnt,Week09_235_Avg,Week09_235_Cnt,Week09_240_Avg,Week09_240_Cnt,Week09_245_Avg,Week09_245_Cnt,Week09_260_Avg,Week09_260_Cnt,Week09_265_Avg,Week09_265_Cnt,Week09_270_Avg,Week09_270_Cnt,Week10_235_Avg,Week10_235_Cnt,Week10_240_Avg,Week10_240_Cnt,Week10_245_Avg,Week10_245_Cnt,Week10_260_Avg,Week10_260_Cnt,Week10_265_Avg,Week10_265_Cnt,Week10_270_Avg,Week10_270_Cnt,Week11_235_Avg,Week11_235_Cnt,Week11_240_Avg,Week11_240_Cnt,Week11_245_Avg,Week11_245_Cnt,Week11_260_Avg,Week11_260_Cnt,Week11_265_Avg,Week11_265_Cnt,Week11_270_Avg,Week11_270_Cnt,Week12_235_Avg,Week12_235_Cnt,Week12_240_Avg,Week12_240_Cnt,Week12_245_Avg,Week12_245_Cnt,Week12_260_Avg,Week12_260_Cnt,Week12_265_Avg,Week12_265_Cnt,Week12_270_Avg,Week12_270_Cnt,Week13_235_Avg,Week13_235_Cnt,Week13_240_Avg,Week13_240_Cnt,Week13_245_Avg,Week13_245_Cnt,Week13_260_Avg,Week13_260_Cnt,Week13_265_Avg,Week13_265_Cnt,Week13_270_Avg,Week13_270_Cnt,Week14_235_Avg,Week14_235_Cnt,Week14_240_Avg,Week14_240_Cnt,Week14_245_Avg,Week14_245_Cnt,Week14_260_Avg,Week14_260_Cnt,Week14_265_Avg,Week14_265_Cnt,Week14_270_Avg,Week14_270_Cnt,Week15_235_Avg,Week15_235_Cnt,Week15_240_Avg,Week15_240_Cnt,Week15_245_Avg,Week15_245_Cnt,Week15_260_Avg,Week15_260_Cnt,Week15_265_Avg,Week15_265_Cnt,Week15_270_Avg,Week15_270_Cnt,Week16_235_Avg,Week16_235_Cnt,Week16_240_Avg,Week16_240_Cnt,Week16_245_Avg,Week16_245_Cnt,Week16_260_Avg,Week16_260_Cnt,Week16_265_Avg,Week16_265_Cnt,Week16_270_Avg,Week16_270_Cnt,Week17_235_Avg,Week17_235_Cnt,Week17_240_Avg,Week17_240_Cnt,Week17_245_Avg,Week17_245_Cnt,Week17_260_Avg,Week17_260_Cnt,Week17_265_Avg,Week17_265_Cnt,Week17_270_Avg,Week17_270_Cnt,Week18_235_Avg,Week18_235_Cnt,Week18_240_Avg,Week18_240_Cnt,Week18_245_Avg,Week18_245_Cnt,Week18_260_Avg,Week18_260_Cnt,Week18_265_Avg,Week18_265_Cnt,Week18_270_Avg,Week18_270_Cnt,Week19_235_Avg,Week19_235_Cnt,Week19_240_Avg,Week19_240_Cnt,Week19_245_Avg,Week19_245_Cnt,Week19_260_Avg,Week19_260_Cnt,Week19_265_Avg,Week19_265_Cnt,Week19_270_Avg,Week19_270_Cnt,Week20_235_Avg,Week20_235_Cnt,Week20_240_Avg,Week20_240_Cnt,Week20_245_Avg,Week20_245_Cnt,Week20_260_Avg,Week20_260_Cnt,Week20_265_Avg,Week20_265_Cnt,Week20_270_Avg,Week20_270_Cnt,Week21_235_Avg,Week21_235_Cnt,Week21_240_Avg,Week21_240_Cnt,Week21_245_Avg,Week21_245_Cnt,Week21_260_Avg,Week21_260_Cnt,Week21_265_Avg,Week21_265_Cnt,Week21_270_Avg,Week21_270_Cnt,Week22_235_Avg,Week22_235_Cnt,Week22_240_Avg,Week22_240_Cnt,Week22_245_Avg,Week22_245_Cnt,Week22_260_Avg,Week22_260_Cnt,Week22_265_Avg,Week22_265_Cnt,Week22_270_Avg,Week22_270_Cnt,Week23_235_Avg,Week23_235_Cnt,Week23_240_Avg,Week23_240_Cnt,Week23_245_Avg,Week23_245_Cnt,Week23_260_Avg,Week23_260_Cnt,Week23_265_Avg,Week23_265_Cnt,Week23_270_Avg,Week23_270_Cnt,Week24_235_Avg,Week24_235_Cnt,Week24_240_Avg,Week24_240_Cnt,Week24_245_Avg,Week24_245_Cnt,Week24_260_Avg,Week24_260_Cnt,Week24_265_Avg,Week24_265_Cnt,Week24_270_Avg,Week24_270_Cnt,Week25_235_Avg,Week25_235_Cnt,Week25_240_Avg,Week25_240_Cnt,Week25_245_Avg,Week25_245_Cnt,Week25_260_Avg,Week25_260_Cnt,Week25_265_Avg,Week25_265_Cnt,Week25_270_Avg,Week25_270_Cnt,Week26_235_Avg,Week26_235_Cnt,Week26_240_Avg,Week26_240_Cnt,Week26_245_Avg,Week26_245_Cnt,Week26_260_Avg,Week26_260_Cnt,Week26_265_Avg,Week26_265_Cnt,Week26_270_Avg,Week26_270_Cnt,Week01_Golden_Avg,Week01_Golden_Cnt,Week02_Golden_Avg,Week02_Golden_Cnt,Week03_Golden_Avg,Week03_Golden_Cnt,Week04_Golden_Avg,Week04_Golden_Cnt,Week05_Golden_Avg,Week05_Golden_Cnt,Week06_Golden_Avg,Week06_Golden_Cnt,Week07_Golden_Avg,Week07_Golden_Cnt,Week08_Golden_Avg,Week08_Golden_Cnt,Week09_Golden_Avg,Week09_Golden_Cnt,Week10_Golden_Avg,Week10_Golden_Cnt,Week11_Golden_Avg,Week11_Golden_Cnt,Week12_Golden_Avg,Week12_Golden_Cnt,Week13_Golden_Avg,Week13_Golden_Cnt,Week14_Golden_Avg,Week14_Golden_Cnt,Week15_Golden_Avg,Week15_Golden_Cnt,Week16_Golden_Avg,Week16_Golden_Cnt,Week17_Golden_Avg,Week17_Golden_Cnt,Week18_Golden_Avg,Week18_Golden_Cnt,Week19_Golden_Avg,Week19_Golden_Cnt,Week20_Golden_Avg,Week20_Golden_Cnt,Week21_Golden_Avg,Week21_Golden_Cnt,Week22_Golden_Avg,Week22_Golden_Cnt,Week23_Golden_Avg,Week23_Golden_Cnt,Week24_Golden_Avg,Week24_Golden_Cnt,Week25_Golden_Avg,Week25_Golden_Cnt,Week26_Golden_Avg,Week26_Golden_Cnt
457531,뉴발란스 992 메이드 인 USA 코어 그레이 실버 메탈릭,26000,U992GY,2025-03-07,309000,Grey/Grey/Silver Metallic,0,2025-03-10,1191,403931,1191,403931,96,396229,90,402589,99,381505,275,402745,305,405616,326,412804,438000,3,420333,3,407000,2,431556,18,434100,30,424342,38,407857,7,391417,12,382846,13,404882,34,412474,38,403955,44,411600,20,402880,25,387720,25,412250,76,417477,86,417333,99,392095,42,419286,21,384139,36,404952,83,400427,82,417244,78,382042,24,393034,29,367652,23,379359,64,380841,69,400209,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428777,94,403669,148,412529,331,403781,342,385486,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317696,뉴발란스 1906A 실버 메탈릭 캐슬락,7795,M1906AD,2024-07-24,239000,Silver Metallic/Castlerock/Gold Metallic,0,2024-07-27,516,224895,516,224895,37,258216,45,237022,39,227769,113,219991,132,222818,150,217813,,,,,270000,1,,,,,,,,,,,,,,,,,350000,1,,,,,,,,,313000,1,,,,,,,,,275000,2,301000,2,,,275000,1,,,,,283000,2,301500,2,295000,1,307500,2,,,,,284000,3,251667,3,277000,4,317000,1,284000,1,266400,5,278333,3,277000,5,269286,7,270000,1,267000,2,258000,2,259000,4,254000,2,257000,8,269000,1,,,266000,3,238000,5,245333,6,244400,10,266000,1,258000,1,269000,1,228750,4,240000,2,225800,5,257667,3,236667,3,257500,2,223800,10,229900,10,228833,6,270000,1,270500,4,255000,1,246429,7,249800,5,217429,7,270000,2,246000,3,,,,,248000,4,230750,4,247000,1,236500,6,238500,2,213000,3,227000,4,213000,8,242500,2,224000,3,221500,2,196000,2,208000,6,204200,5,235250,4,225000,1,214000,1,223700,10,235000,8,219400,10,218000,3,264500,2,183000,9,236429,7,243833,6,240333,3,236000,1,250500,2,179000,2,218000,6,234000,7,234600,5,275000,4,189750,4,234000,1,204200,5,202375,8,217714,7,,,160333,3,216000,1,182556,9,174250,12,187167,6,,,201000,4,213000,1,184875,8,170571,14,173167,12,257000,2,297000,1,213000,1,185667,3,193750,4,176000,5,234000,3,240000,1,,,182733,15,196429,7,168867,15,217000,1,279000,1,209000,2,238500,2,229143,7,207077,13,282500,2,278500,2,232000,1,262000,1,248500,4,227750,4,298000,1,297000,1,263000,1,270500,2,257000,3,258250,4,270000,1,350000,1,313000,1,288000,4,289833,6,277500,12,274455,22,258947,19,246920,25,236929,14,232588,34,244120,25,245615,13,224750,24,213050,20,226206,34,222300,30,226696,23,215759,29,179161,31,178513,39,202250,16,185146,41,218731,26,251500,14,266917,12
25785,뉴발란스 2002R 그레이,105000,ML2002RC,2020-09-25,179000,Grey,0,2020-09-25,502,169514,502,169514,32,165625,41,164220,27,163407,114,171053,131,169634,157,171522,154400,5,173714,7,157000,2,160429,21,161069,29,161962,26,149000,1,152333,3,147000,2,165667,9,170643,14,178700,10,149500,2,149000,2,,,184000,1,179000,2,191250,4,159000,1,148667,3,158000,1,180000,1,175000,5,187667,6,169000,2,154500,2,159000,2,199667,3,180500,4,179600,5,145000,1,179000,1,160000,1,179000,3,166250,4,171000,5,169000,1,159250,4,169000,2,151154,13,156250,16,154273,22,151500,2,170000,1,158333,3,158286,7,160700,10,158400,15,170000,1,155000,1,,,168000,7,170000,8,163100,10,174000,4,164500,2,178000,1,183222,9,181571,7,174667,3,,,200000,1,190000,1,188500,2,193000,4,187667,3,185000,1,179000,2,169000,1,192429,7,193500,2,210000,4,178833,6,167600,5,168667,6,172188,16,169917,12,171750,20,167667,3,161750,4,159500,2,174400,5,179222,9,185100,10,169500,2,164667,3,162333,3,191000,7,193500,4,191364,11,,,,,,,184667,3,219000,1,189333,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161700,90,168385,39,173091,11,173176,17,176889,18,169400,15,155224,58,158921,38,166370,27,178731,26,191091,11,193294,17,171569,65,175909,33,184533,30,191571,7,,,,,,,,,,,,,,,,,,,,
44101,뉴발란스 410v5 블랙 - 2E 와이드,40000,MT410CK5,,109000,Black,0,2021-11-28,34,85941,34,85941,,,8,87625,3,89000,5,84200,7,85714,11,84818,,,99000,1,,,,,,,,,,,,,,,,,,,,,,,99000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88000,1,,,89000,1,,,89000,1,,,,,,,,,89000,1,88000,1,,,,,,,,,,,87000,1,,,,,,,,,89000,1,,,,,,,,,86500,2,,,,,,,87000,1,,,,,89000,1,,,,,,,,,,,,,88000,1,,,,,89000,1,,,,,,,,,,,89000,1,,,,,,,,,81500,2,,,,,,,,,,,,,,,,,77500,2,89000,1,,,,,,,,,89000,1,,,,,,,,,80000,1,,,,,,,,,,,,,,,89000,1,,,,,,,,,89000,1,88500,2,,,,,,,,,,,,,,,83000,1,,,,,,,71500,2,,,,,,,79000,1,,,,,,,,,89000,1,,,,,83000,1,,,,,,,,,,,,,,,82000,1,,,,,,,,,99000,1,,,99000,1,,,,,88667,3,88500,2,87000,1,89000,1,86500,2,88000,2,88000,1,89000,1,89000,1,81500,2,81333,3,89000,1,80000,1,89000,1,88667,3,,,75333,3,79000,1,86000,2,,,82000,1
538811,뉴발란스 204L 스웨이드 머쉬룸 애리드 스톤,45000,U204LMMA,2025-07-03,159000,Mushroom/Arid Stone,0,2025-07-03,1464,217773,1464,217773,363,215298,376,224859,246,230703,166,204392,165,205879,148,212615,236955,22,235474,19,246333,9,233875,8,237933,15,220833,12,205417,24,216833,30,218588,17,235889,9,215429,7,219667,9,193933,15,197130,23,196818,11,188500,6,179667,3,189000,6,173222,18,186040,25,199545,11,181182,11,180000,16,184818,11,176452,31,202452,31,192810,21,186895,19,175533,15,184750,12,209160,50,230500,26,225261,23,200444,18,202400,20,227900,10,240955,44,244810,42,263750,28,208577,26,216458,24,226722,18,227082,61,228203,79,241745,47,206840,25,213304,23,218115,26,221274,62,242070,57,238318,44,205222,27,202917,24,216481,27,218944,36,227409,44,228486,35,206882,17,212333,18,210588,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235224,85,216240,96,193938,64,183370,92,187566,129,214741,147,236088,182,226015,261,225141,241,220383,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418841,뉴발란스 740v2 블랙 실버 메탈릭,36000,U740BM2,2025-01-09,139000,Black/Silver Metallic,0,2025-01-09,1419,158316,1419,158316,315,170295,328,165720,238,155744,178,147888,181,149022,179,146860,183500,4,183444,9,168714,7,174667,3,181600,5,172000,4,191167,6,187875,8,163500,6,152167,6,152600,5,154667,3,139967,30,132952,21,129000,14,129000,8,131667,3,129571,7,156848,33,149600,30,145278,18,144526,19,137625,16,144846,13,168067,30,157219,32,152680,25,151900,20,154312,16,149867,15,166897,39,159886,44,147881,42,149750,20,141667,18,146583,24,187409,44,180500,32,177154,26,157900,20,159111,27,154958,24,176054,37,171133,45,162679,28,149048,21,146158,19,144450,20,184452,31,172976,41,164167,24,143929,28,143156,32,143969,32,179088,34,178023,44,160156,32,145750,20,155259,27,147519,27,158111,27,157000,22,139375,16,141769,13,141538,13,138200,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177688,32,169735,34,134108,83,148140,129,156848,138,154107,187,172260,173,162153,170,159404,188,163788,184,148693,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28260,뉴발란스 530 스틸 그레이,121000,MR530KA,2021-01-08,129000,Steel Grey,0,2021-01-06,1401,114581,1401,114581,268,118922,238,117508,153,113745,247,108239,225,114431,270,114093,98750,12,95667,9,93750,8,92800,5,94000,5,93556,9,90750,8,93167,6,93800,5,90385,13,93875,8,90583,12,95083,12,100000,10,95600,5,91111,9,93636,11,93091,11,103091,11,101444,9,95000,4,94500,8,100000,6,97875,8,102000,16,102636,11,101000,8,93929,14,94167,18,95667,12,130400,10,133100,10,110900,10,96900,20,97133,15,105333,24,148867,15,133600,15,113556,9,97136,22,108444,18,116833,18,110688,48,108909,33,106182,22,101261,23,106885,26,107762,42,107057,35,101133,30,105579,19,102174,23,102667,27,102727,33,115045,22,109367,30,110917,12,105083,36,109192,26,105968,31,131538,26,129611,18,141556,9,120105,19,142737,19,144429,14,137450,20,140091,22,133500,10,142550,20,151417,12,145000,20,150833,18,144556,18,130222,18,127500,22,153625,16,148667,21,136067,15,132000,17,125786,14,133077,13,134167,18,136333,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95250,48,91673,52,94707,58,99261,46,97810,79,108618,89,118052,97,107613,194,103587,167,108599,157,133743,105,141673,104,142000,113,133000,92,,,,,,,,,,,,,,,,,,,,,,,,
343933,뉴발란스 1906A 콘크리트 실버 메탈릭,1594,M1906AG,2024-09-18,208355900,Concrete/Silver Metallic,0,2024-11-09,84,237810,84,237810,11,278182,12,228333,7,223857,16,239812,10,233200,28,230000,,,,,,,,,,,344000,1,,,,,240000,1,284500,2,,,256333,3,,,,,,,255000,3,245000,1,238000,1,,,,,,,,,,,239000,1,,,,,,,,,,,,,299000,1,245000,1,,,,,,,247000,2,,,,,,,249000,1,,,220000,1,,,,,,,,,,,,,,,,,,,201000,1,,,,,,,244000,1,,,,,,,201000,1,,,220000,1,,,,,,,,,,,209000,2,,,,,,,197000,2,219000,1,,,219000,2,,,,,199000,1,,,213000,2,218000,1,195000,1,,,210000,1,219000,1,,,,,206000,2,,,,,,,,,210000,1,,,,,,,,,211000,2,,,218667,3,212000,1,213250,4,289000,1,218000,1,210000,1,,,211000,1,217000,1,288000,1,,,,,,,,,259000,1,299000,1,248000,1,,,,,230000,2,216000,2,,,,,,,,,224500,2,215500,2,,,299000,1,,,257000,1,,,215000,1,329000,1,,,,,275000,1,239000,1,,,299000,1,,,251000,1,,,240000,1,218000,2,289500,2,,,,,,,,,289000,1,240000,1,,,,,258000,1,276000,1,,,344000,1,263000,6,249600,5,239000,1,,,259500,4,234500,2,,,201000,1,222500,2,220000,1,203000,4,214000,4,209800,5,210333,3,210000,1,214300,10,229000,5,273500,2,239833,6,220000,4,257000,3,281000,3,245200,5,289333,3,258000,3
466255,뉴발란스 509 블랙 그레이,29000,U509BG,2025-03-14,139000,Black/Gray,0,2025-03-14,1971,185825,1971,185825,309,188087,358,181765,237,172992,315,190343,357,189518,395,188496,156062,16,151933,15,146364,11,148700,10,149154,13,146867,15,188545,11,176333,9,160250,8,150917,12,157000,13,153467,15,195125,8,183900,10,165286,7,165500,12,165100,10,162400,10,184538,13,179333,15,163900,10,165417,12,159538,13,158733,15,193800,10,180000,20,165067,15,170750,20,158529,17,160476,21,223286,7,205077,13,179333,3,167333,6,165308,13,164278,18,190111,9,197917,12,182333,9,168889,9,170000,4,170632,19,187200,10,200000,10,177500,4,188000,7,215250,4,209222,9,216667,12,200857,21,182588,17,218667,6,215900,10,213733,15,214600,15,207182,11,199250,8,208333,9,225000,7,214273,11,206167,12,200000,9,185111,9,203100,10,193667,12,208824,17,190250,12,187100,20,197111,9,207571,14,188778,18,198632,19,192062,16,183308,13,193545,11,190900,10,193737,19,184000,16,192200,10,190750,16,188389,18,192333,15,200429,21,213526,19,197600,15,194300,10,177800,10,205250,24,205467,15,202583,12,214167,12,204500,14,170750,12,212929,14,206333,6,217545,11,191615,13,194818,11,176875,8,204917,12,209800,15,210929,14,181947,19,180700,20,183143,7,210909,11,230923,13,222929,14,176727,11,173944,18,185000,1,223556,9,225214,14,229000,15,186588,17,180846,13,182333,9,211125,16,224667,9,233100,10,182583,12,177538,13,175300,10,226615,13,231889,18,236250,8,160815,27,155931,29,151105,19,175667,30,175233,43,174875,48,172867,15,162231,26,154562,16,186923,26,182526,38,176656,32,172714,7,146900,10,140167,6,170500,8,161083,12,167083,12,,,,,,,,,,,,,,,,,,,,,,,,,150188,80,163191,68,172246,57,168821,78,169845,103,181283,60,180145,62,196409,44,204926,81,211459,61,200652,69,194315,92,189635,85,197131,99,199116,86,204261,69,200110,73,199952,84,203824,68,201284,74,206243,74,168031,196,174725,153,160382,55,,,,
226053,뉴발란스 1906R 하버 그레이 실버 메탈릭,40000,M1906REH,2024-01-12,179000,Harbor Grey/Silver Metalic,0,2024-01-10,1597,231398,1597,231398,373,252633,377,249952,329,235726,175,201457,173,201578,170,196453,,,166000,1,,,180000,1,169000,1,,,166000,1,,,,,,,,,,,,,166000,3,,,160000,1,168000,1,155500,2,166000,1,166000,3,166500,2,166000,1,168000,3,166000,1,161333,9,164444,9,163500,6,163000,3,165600,5,161750,4,176333,15,176217,23,166778,9,168333,3,173750,4,163333,3,184583,12,181188,16,176385,13,163667,6,175500,4,163500,6,198304,23,189389,18,184714,14,176556,9,177400,5,161000,9,222083,12,218882,17,192214,14,177500,6,176667,9,169000,3,274643,14,265556,18,219875,24,178846,13,179636,11,174167,6,262778,27,262412,17,254391,23,193077,13,186286,7,180056,18,270439,41,267417,36,261484,31,203056,18,198222,9,191111,9,260667,51,261767,43,241073,41,219625,16,215556,18,206167,12,259878,41,267500,34,246455,44,229615,13,238273,11,216050,20,276000,34,282529,34,254828,29,227167,18,222368,19,217923,13,283795,39,288216,37,246393,28,205731,26,214720,25,217727,22,272267,30,274756,41,259091,33,202409,22,198742,31,201333,33,250652,23,250148,27,242667,18,206500,6,201100,10,197556,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171667,3,166000,1,162429,7,166636,11,163250,36,173491,57,176702,57,185654,78,200639,61,223814,86,232971,105,249861,144,244762,181,248595,163,255286,147,249367,177,238111,190,235645,93,,,,,,,,,,,,,,,,
