product_id,name,모델번호,wish_count,발매일,발매가,색상,한정판 여부,국내발매 여부,콜라보 여부,구글트랜드 분석 결과,라벨링,trade_count,status,error,collected_at
432838,나이키 P-6000 화이트 메탈릭 실버,CD6404-107,3117,,110159200,White/Metallic Silver/Black/Black,,,,,,2000,OK,,2026-02-19 1:51
479388,나이키 샥스 R4 메탈릭 실버 블랙,HQ1988-004,6751,2025-03-25,179000,Metallic Silver/Black/Psychic Blue/Black,,,,,,939,OK,,2026-02-19 1:53
309629,나이키 에어 줌 스피리돈 케이지 2 블랙 앤트러사이트,HM8497-010,9400,2024-07-11,209000,Black/Anthracite/Smoke Grey/Black,,,,,,2000,OK,,2026-02-19 1:55
748535,나이키 리액트X 리주버네이트 스프루스 아우라 라이트 실버,HV5060-005,619,,,Spruce Aura/Light Silver,,,,,,155,OK,,2026-02-19 1:57
136230,나이키 캄 슬라이드 세일,FD4116-100,13000,2023-06-15,59000,Sail,,,,,,2000,OK,,2026-02-19 2:06
594842,나이키 줌X 베이퍼플라이 넥스트% 4 화이트 하이퍼 핑크,HF6414-101,639,2025-06-23,309000,White/Hyper Pink/Mint Foam/Black,,,,,,311,OK,,2026-02-19 2:09
97347,(W) 나이키 줌 보메로 5 포톤 더스트 앤 메탈릭 실버,FD0884-025,43000,2023-02-28,189000,Photon Dust/Metallic Silver,,,,,,2000,OK,,2026-02-19 2:10
306621,나이키 에어 베이퍼맥스 2023 플라이니트 앤트러사이트 블랙,DV1678-006,2680,2023-09-26,249000,Anthracite/Black,,,,,,1111,OK,,2026-02-19 2:18
75302,나이키 x 톰 삭스 제너럴 퍼포즈 슈 아카이브,DA6672-700,31000,2022-09-02,129900,Dark Sulfur/White/Light Cream,,,,,,2000,OK,,2026-02-19 2:20
614616,나이키 x 슈프림 에어 포스 1 로우 화이트,CU9225-102,3359,2025-09-18,159000,White,,,,,,1172,OK,,2026-02-19 2:23
547201,나이키 에어포스 1 로우 '07 LV8 라이트 스모크 그레이 블랙,HQ1966-001,5439,,,Light Smoke Grey/Black,,,,,,1155,OK,,2026-02-19 2:25
542407,나이키 샥스 R4 화이트 메탈릭 실버 딥 로얄 블루 화이트,HQ1988-102,1198,2025-06-23,21230199100,White/Metallic Silver/Deep Royal Blue/White,,,,,,137,OK,,2026-02-19 2:27
673536,나이키 에어맥스 95 ZIP SP 빅 버블 블랙,IM0695-001,1404,2025-11-06,239000,Black,,,,,,53,OK,,2026-02-19 2:28
629567,나이키 에어포스 1 로우 벨벳 브라운 블랙,IM8056-220,1153,,135195400,Velvet Brown/Velvet Brown/Black,,,,,,204,OK,,2026-02-19 2:29
560465,나이키 LD-1000 소프트 펄 모슬린,HJ4687-004,933,2025-07-23,129000,Soft Pearl/Muslin/Black,,,,,,217,OK,,2026-02-19 2:30
669747,나이키 에어맥스 모토 2K 블랙 메탈릭 다크 그레이,IO9279-001,683,2025-10-28,149000,Black/Metallic Dark Grey/Dark Smoke Grey,,,,,,142,OK,,2026-02-19 2:34
229945,나이키 V2K 런 퓨어 플래티넘 울프 그레이,FD0736-003,34000,2024-01-18,149000,Pure Platinum/Wolf Grey/Cool Grey/Metallic Cool Grey,,,,,,2000,OK,,2026-02-19 2:35
775833,나이키 에어맥스 고아돔 로우 블랙 앤트러사이트,IQ0641-001,309,2026-02-01,219000,Black/Black/Anthracite,,,,,,10,OK,,2026-02-19 2:38
531485,나이키 코르테즈 SE 블랙 검 브라운,IM4843-010,17000,2025-06-07,13530126800,Black/Gum Brown/White,,,,,,1751,OK,,2026-02-19 2:48
752030,나이키 SB 에어맥스 95 블랙 앤 앤트러사이트,HF7545-002,425,2026-01-21,229000,Cacao Wow/Black/Anthracite/Light Graphite/Light Charcoal/Pearl Grey,,,,,,32,OK,,2026-02-19 2:59
555990,나이키 아바 로버 블랙 앤트러사이트,DX4215-005,1993,2025-07-25,140202700,Black/Black/Anthracite/Black,,,,,,262,OK,,2026-02-19 3:04
757895,(W) 나이키 에어맥스 모토 2K SE 블랙 앤트러사이트,IO4862-001,772,,159000,Black/Anthracite,,,,,,96,OK,,2026-02-19 3:05
