product_id,product_name,model_number,wish_count,release_date,release_price,color,is_collaboration,trade_count
18402,(W) 나이키 에어포스 1 '07 로우 트리플 블랙,DD8959-001,71000,2021-01-01,149000,Black,0,2250
754815,나이키 마인드 002 블랙 하이퍼 크림슨,HQ4308-001,760,2024-09-03,179000,Black,0,531
526264,나이키 줌X 스트릭플라이 2 화이트 옵시디언 미스트,HF6416-100,6057,2025-04-24,260600,White,1,1993
402232,나이키 샥스 R4 메탈릭 실버 레드,HQ1988-002,17000,2024-12-05,179000,Grey,0,2100
778971,나이키 x 코비 브라이언트 에어포스 1 로우 프로트로 워크 블루 메탈릭 콜드,IM0583-400,474,2026-02-04,189000,Blue,1,85
408241,나이키 줌 플라이 6 블랙 라이트 스모크 그레이,FN8454-001,10000,2024-11-01,246100,Black,0,2550
250825,(W) 나이키 샥스 R4 블랙,AR3565-004,36000,2024-06-10,179000,Black,0,2000
23879,나이키 에어 줌 스피리돈 케이지 2 메탈릭 실버,CJ1288-001,19000,2020-04-13,180000,Grey,0,2250
305412,나이키 줌 보메로 5 울프 그레이 화이트,FJ4151-003,4005,2023-06-01,231600,Grey,0,2000
501868,나이키 에어 줌 알파플라이 넥스트% 3 화이트 퓨어 플래티넘,FD8311-101,5012,2025-03-20,339000,White,0,2000
555652,나이키 코비 6 프로트로 토탈 오렌지,IH1871-800,2247,2025-11-07,219000,Yellow,0,2000
316783,나이키 x 피스마이너스원 에어포스 1 로우 파라노이즈 3.0 블랙 앤 멀티컬러,AQ3692-004,24000,2024-08-14,239000,Black,1,2100
508843,나이키 줌 플라이 6 화이트 퓨어 플래티넘,FN8454-104,9929,2025-04-01,246100,White,0,2000
65219,나이키 x 톰 삭스 제너럴 퍼포즈 슈 라이트 크림,DA6672-200,25000,2022-06-10,159200,White,1,2100
28029,나이키 덩크 로우 레트로 블랙,DD1391-100,108000,2021-01-14,139000,white,0,2250
612674,(W) 나이키 샥스 Z 블랙 유니버시티 레드,HQ7540-002,8290,2025-09-26,159000,Black,0,2000
611604,나이키 x 자크뮈스 문 슈 SP 앨러배스터 오프 누아르,HV8547-700,7833,2025-09-29,239000,White,1,1945
775659,나이키 보메로 블랙 화이트,IQ0627-001,376,2026-02-01,289000,Black,0,91
361985,(W) 나이키 에어맥스 SNDR 고어텍스 블랙 앤 다크 스모크 그레이,FZ4238-001,7548,2024-10-10,249000,Black,0,853
24137,나이키 P-6000 메탈릭 실버,CN0149-001,27000,2019-07-30,173700,Grey,0,2000
